title,address,acess,age,floor,fee,manegement_fee,deposit,qratuity,madori,menseki
メインステージ大森町駅前,東京都大田区大森西３, 京急本線/大森町駅 歩2分 京急本線/平和島駅 歩9分 京急本線/梅屋敷駅 歩12分 , 築29年 8階建 ,             3階,5.8万円,6000円,-,-,ワンルーム,17.53m2
メインステージ大森町駅前,東京都大田区大森西３, 京急本線/大森町駅 歩2分 京急本線/平和島駅 歩9分 京急本線/梅屋敷駅 歩12分 , 築29年 8階建 ,             8階,7万円,10500円,-,7万円,ワンルーム,19.22m2
京急本線 大森町駅 8階建 築29年,東京都大田区大森西３, 京急本線/大森町駅 歩2分 京急本線/平和島駅 歩2分 京急本線/梅屋敷駅 歩11分 , 築29年 8階建 ,             3階,5.5万円,5000円,5.5万円,5.5万円,ワンルーム,17.43m2
京急本線 大森町駅 8階建 築29年,東京都大田区大森西３, 京急本線/大森町駅 歩2分 京急本線/平和島駅 歩2分 京急本線/梅屋敷駅 歩11分 , 築29年 8階建 ,             3階,5.8万円,3000円,5.8万円,5.8万円,ワンルーム,17.43m2
京急本線 大森町駅 8階建 築29年,東京都大田区大森西３, 京急本線/大森町駅 歩2分 京急本線/平和島駅 歩2分 京急本線/梅屋敷駅 歩11分 , 築29年 8階建 ,             4階,5.9万円,6000円,-,-,ワンルーム,16.38m2
京急本線 大森町駅 8階建 築29年,東京都大田区大森西３, 京急本線/大森町駅 歩2分 京急本線/平和島駅 歩2分 京急本線/梅屋敷駅 歩11分 , 築29年 8階建 ,             8階,7万円,10500円,-,7万円,ワンルーム,19.22m2
ファサード・Ｒ,東京都大田区大森東３, 京急本線/大森町駅 歩7分 京急本線/平和島駅 歩13分 ＪＲ京浜東北線/大森駅 バス10分 (バス停)大森東中学校前 歩5分 , 築37年 3階建 ,             2階,4.7万円,3000円,4.7万円,-,ワンルーム,15.03m2
プラティーク北千束グラン,東京都大田区北千束２, 東急大井町線/北千束駅 歩4分 東急目黒線/洗足駅 歩7分 東急池上線/長原駅 歩9分 , 築36年 地下1地上5階建 ,             4階,6.1万円,6000円,-,-,ワンルーム,17.28m2
プラティーク北千束グラン,東京都大田区北千束２, 東急大井町線/北千束駅 歩4分 東急目黒線/洗足駅 歩7分 東急池上線/長原駅 歩9分 , 築36年 地下1地上5階建 ,             3階,6.2万円,5000円,-,-,ワンルーム,17.28m2
プラティーク北千束グラン,東京都大田区北千束２, 東急大井町線/北千束駅 歩4分 東急目黒線/洗足駅 歩7分 東急池上線/長原駅 歩9分 , 築36年 地下1地上5階建 ,             4階,6.4万円,5000円,-,-,ワンルーム,17.4m2
プラティーク北千束グラン,東京都大田区北千束２, 東急大井町線/北千束駅 歩4分 東急目黒線/洗足駅 歩7分 東急池上線/長原駅 歩9分 , 築36年 地下1地上5階建 ,             4階,6.5万円,5000円,-,-,ワンルーム,18.58m2
プラティーク北千束グラン,東京都大田区北千束２, 東急大井町線/北千束駅 歩4分 東急目黒線/洗足駅 歩7分 東急池上線/長原駅 歩9分 , 築36年 地下1地上5階建 ,             2階,7.5万円,5000円,-,-,ワンルーム,23.68m2
昌平ハウス（ショウヘイハウス）,東京都大田区鵜の木３, 東急多摩川線/鵜の木駅 歩6分 東急池上線/久が原駅 歩10分 東急多摩川線/沼部駅 歩10分 , 築52年 4階建 ,             2階,7万円,2000円,7万円,7万円,ワンルーム,21.07m2
東急多摩川線 鵜の木駅 4階建 築52年,東京都大田区鵜の木３, 東急多摩川線/鵜の木駅 歩7分 東急多摩川線/沼部駅 歩9分 東急池上線/久が原駅 歩10分 , 築52年 4階建 ,             2階,7万円,2000円,7万円,7万円,ワンルーム,21.07m2
京急本線 雑色駅 3階建 築32年,東京都大田区南六郷２, 京急本線/雑色駅 歩9分 京急空港線/糀谷駅 歩18分 京急本線/六郷土手駅 歩22分 , 築32年 3階建 ,             2階,5.6万円,4000円,5.6万円,-,ワンルーム,18.42m2
メゾンシュール,東京都大田区南六郷２, 京急本線/雑色駅 歩9分 京急空港線/糀谷駅 歩18分 京急本線/六郷土手駅 歩22分 , 築32年 3階建 ,             2階,5.6万円,4000円,5.6万円,-,ワンルーム,18.42m2
京急本線 雑色駅 3階建 築52年,東京都大田区西六郷１, 京急本線/雑色駅 歩12分 ＪＲ京浜東北線/蒲田駅 歩18分 東急多摩川線/矢口渡駅 歩18分 , 築52年 3階建 ,             3階,6万円,5000円,-,-,2K,30.02m2
東急池上線 御嶽山駅 4階建 築39年,東京都大田区北嶺町, 東急池上線/御嶽山駅 歩1分 東急池上線/雪が谷大塚駅 歩10分 東急池上線/久が原駅 歩10分 , 築39年 4階建 ,             1階,5.7万円,5000円,5.7万円,5.7万円,1DK,22m2
東急池上線 御嶽山駅 4階建 築39年,東京都大田区北嶺町, 東急池上線/御嶽山駅 歩1分 東急池上線/雪が谷大塚駅 歩10分 東急池上線/久が原駅 歩10分 , 築39年 4階建 ,             1階,5.7万円,5000円,5.7万円,5.7万円,1DK,22m2
東急池上線 御嶽山駅 4階建 築39年,東京都大田区北嶺町, 東急池上線/御嶽山駅 歩1分 東急池上線/雪が谷大塚駅 歩10分 東急池上線/久が原駅 歩10分 , 築39年 4階建 ,             3階,7.9万円,-,7.9万円,-,1DK,26.94m2
セブンスターハイツ久が原,東京都大田区北嶺町, 東急池上線/御嶽山駅 歩1分 東急池上線/雪が谷大塚駅 歩10分 東急池上線/久が原駅 歩10分 , 築39年 4階建 ,             1階,5.7万円,5000円,5.7万円,5.7万円,1DK,22m2
京急本線 大森町駅 3階建 築37年,東京都大田区大森東３, 京急本線/大森町駅 歩7分 京急本線/平和島駅 歩13分 ＪＲ京浜東北線/大森駅 バス10分 (バス停)大森東中学校前 歩5分 , 築37年 3階建 ,             2階,4.7万円,3000円,4.7万円,-,ワンルーム,15.03m2
京急本線 大森町駅 3階建 築37年,東京都大田区大森東３, 京急本線/大森町駅 歩7分 京急本線/平和島駅 歩13分 ＪＲ京浜東北線/大森駅 バス10分 (バス停)大森東中学校前 歩5分 , 築37年 3階建 ,             2階,4.8万円,3000円,4.8万円,-,ワンルーム,15.03m2
ハイツレイメイ２２,東京都大田区西蒲田４, ＪＲ京浜東北線/蒲田駅 歩11分 東急池上線/蓮沼駅 歩10分 京急本線/京急蒲田駅 歩20分 , 築33年 3階建 ,             3階,5.8万円,-,8.7万円,5.8万円,1K,16.8m2
ＪＲ京浜東北線 蒲田駅 3階建 築35年,東京都大田区仲六郷１, ＪＲ京浜東北線/蒲田駅 歩11分 京急本線/京急蒲田駅 歩12分 京急本線/雑色駅 歩11分 , 築35年 3階建 ,             3階,6.5万円,2000円,6.5万円,6.5万円,1K,28.93m2
レスポワール西蒲田,東京都大田区西蒲田６, 東急池上線/蓮沼駅 歩5分 ＪＲ京浜東北線/蒲田駅 歩8分 東急多摩川線/蒲田駅 歩9分 , 築40年 4階建 ,             4階,5万円,3000円,5万円,5万円,ワンルーム,11.85m2
メゾンノーヴェ,東京都大田区中央３, ＪＲ京浜東北線/大森駅 歩16分 京急本線/京急蒲田駅 歩18分 京急本線/梅屋敷駅 歩20分 , 築20年 3階建 ,             1階,7.5万円,3000円,7.5万円,7.5万円,1K,28.51m2
エンゼルハイム梅屋敷第２,東京都大田区大森中１, 京急本線/梅屋敷駅 歩5分 京急本線/大森町駅 歩7分 京急本線/京急蒲田駅 歩14分 , 築36年 14階建 ,             7階,6.3万円,5000円,-,-,ワンルーム,24.8m2
エンゼルハイム梅屋敷第２,東京都大田区大森中１, 京急本線/梅屋敷駅 歩5分 京急本線/大森町駅 歩7分 京急本線/京急蒲田駅 歩14分 , 築36年 14階建 ,             8階,6.3万円,5000円,-,-,ワンルーム,24.8m2
京急本線 梅屋敷駅 14階建 築36年,東京都大田区大森中１, 京急本線/梅屋敷駅 歩4分 京急本線/大森町駅 歩6分 京急本線/京急蒲田駅 歩15分 , 築36年 14階建 ,             8階,6.3万円,5000円,6.3万円,6.3万円,ワンルーム,24.8m2
京急本線 梅屋敷駅 14階建 築36年,東京都大田区大森中１, 京急本線/梅屋敷駅 歩4分 京急本線/大森町駅 歩6分 京急本線/京急蒲田駅 歩15分 , 築36年 14階建 ,             7階,6.3万円,5000円,-,-,ワンルーム,24.8m2
都営浅草線 西馬込駅 3階建 築19年,東京都大田区上池台５, 都営浅草線/西馬込駅 歩16分 東急池上線/洗足池駅 歩20分 東急池上線/石川台駅 歩20分 , 築19年 3階建 ,             3階,7.1万円,2000円,-,-,1K,26.04m2
都営浅草線 西馬込駅 3階建 築19年,東京都大田区上池台５, 都営浅草線/西馬込駅 歩16分 東急池上線/洗足池駅 歩20分 東急池上線/石川台駅 歩20分 , 築19年 3階建 ,             3階,7.3万円,2000円,-,-,1K,26.04m2
♪ピア６５,東京都大田区仲六郷４, 京急本線/六郷土手駅 歩2分 京急本線/雑色駅 歩18分 京急本線/京急川崎駅 歩18分 , 築26年 3階建 ,             3階,5.7万円,3000円,5.7万円,-,ワンルーム,18.12m2
♪ピア６５,東京都大田区仲六郷４, 京急本線/六郷土手駅 歩2分 京急本線/雑色駅 歩18分 京急本線/京急川崎駅 歩18分 , 築26年 3階建 ,             3階,5.7万円,3000円,5.7万円,-,ワンルーム,18m2
ＪＲ京浜東北線 大森駅 8階建 築39年,東京都大田区大森北２, ＪＲ京浜東北線/大森駅 歩10分 京急本線/大森海岸駅 歩1分 京急本線/平和島駅 歩13分 , 築39年 8階建 ,             1階,6万円,-,6万円,-,1K,16.04m2
ＪＲ京浜東北線 大森駅 8階建 築39年,東京都大田区大森北２, ＪＲ京浜東北線/大森駅 歩10分 京急本線/大森海岸駅 歩1分 京急本線/平和島駅 歩13分 , 築39年 8階建 ,             6階,6.3万円,-,6.3万円,-,1K,16.04m2
東急多摩川線 沼部駅 5階建 築35年,東京都大田区田園調布南, 東急多摩川線/沼部駅 歩3分 東急池上線/久が原駅 歩17分 東急多摩川線/鵜の木駅 歩11分 , 築35年 5階建 ,             2階,5.3万円,5000円,-,-,1K,17.22m2
東急多摩川線 沼部駅 5階建 築35年,東京都大田区田園調布南, 東急多摩川線/沼部駅 歩3分 東急池上線/久が原駅 歩17分 東急多摩川線/鵜の木駅 歩11分 , 築35年 5階建 ,             5階,5.5万円,3000円,-,-,1K,17.22m2
東急多摩川線 沼部駅 5階建 築35年,東京都大田区田園調布南, 東急多摩川線/沼部駅 歩3分 東急池上線/久が原駅 歩17分 東急多摩川線/鵜の木駅 歩11分 , 築35年 5階建 ,             3階,5.8万円,5000円,5.8万円,5.8万円,ワンルーム,16.77m2
東急東横線 田園調布駅 4階建 築53年,東京都大田区田園調布２, 東急東横線/田園調布駅 歩6分 東急目黒線/奥沢駅 歩11分 東急東横線/多摩川駅 歩16分 , 築53年 4階建 ,             3階,6.3万円,3000円,6.3万円,6.3万円,1K,22.31m2
東急東横線 田園調布駅 4階建 築53年,東京都大田区田園調布２, 東急東横線/田園調布駅 歩6分 東急目黒線/奥沢駅 歩11分 東急東横線/多摩川駅 歩16分 , 築53年 4階建 ,             2階,6.3万円,3000円,6.3万円,6.3万円,1K,20.66m2
ユーコート大森,東京都大田区大森北５, ＪＲ京浜東北線/大森駅 歩13分 京急本線/平和島駅 歩13分 京急本線/大森町駅 歩19分 , 築41年 3階建 ,             1階,9.3万円,5000円,9.3万円,-,1DK,30.45m2
ＪＲ京浜東北線 大森駅 3階建 築41年,東京都大田区大森北５, ＪＲ京浜東北線/大森駅 歩13分 京急本線/平和島駅 歩13分 京急本線/大森町駅 歩19分 , 築41年 3階建 ,             1階,9.3万円,5000円,9.3万円,-,1DK,30.45m2
リベルテ南馬込,東京都大田区南馬込６, 都営浅草線/西馬込駅 歩3分   , 築35年 4階建 ,             3階,5.4万円,-,5.4万円,5.4万円,1K,16.36m2
ＵＲ南六郷二丁目,東京都大田区南六郷２, 京急本線/雑色駅 歩13分   , 築54年 14階建 ,             5階,9.3万円,2800円,18.6万円,-,2K,43.27m2
ＵＲ南六郷二丁目,東京都大田区南六郷２, 京急本線/雑色駅 歩13分   , 築54年 14階建 ,             13階,9.4万円,2800円,18.8万円,-,2K,46.18m2
ＵＲ南六郷二丁目,東京都大田区南六郷２, 京急本線/雑色駅 歩13分   , 築54年 14階建 ,             13階,9.55万円,2800円,19.1万円,-,2K,43.27m2
谷本ビル,東京都大田区多摩川１, 東急多摩川線/矢口渡駅 歩2分 東急池上線/蓮沼駅 歩13分 東急多摩川線/武蔵新田駅 歩13分 , 築42年 4階建 ,             3階,7.7万円,2000円,7.7万円,-,1K,30m2
東急池上線 久が原駅 6階建 築33年,東京都大田区南久が原２, 東急池上線/久が原駅 歩1分 東急多摩川線/鵜の木駅 歩10分 東急池上線/御嶽山駅 歩11分 , 築33年 6階建 ,             4階,6.5万円,5000円,6.5万円,6.5万円,1K,18.9m2
清水ビル,東京都大田区大森北３, ＪＲ京浜東北線/大森駅 歩9分 京急本線/平和島駅 歩10分 京急本線/大森海岸駅 歩11分 , 築33年 4階建 ,             3階,5.8万円,-,5.8万円,5.8万円,ワンルーム,15.6m2
プリベール梅屋敷,東京都大田区蒲田２, 京急本線/梅屋敷駅 歩2分 京急本線/大森町駅 歩9分 京急本線/京急蒲田駅 歩12分 , 築29年 3階建 ,             2階,6.8万円,-,6.8万円,6.8万円,ワンルーム,20m2
メゾントキワ,東京都大田区西蒲田８, ＪＲ京浜東北線/蒲田駅 歩9分 東急池上線/蓮沼駅 歩6分 京急本線/京急蒲田駅 歩15分 , 築35年 5階建 ,             4階,6.5万円,-,-,-,ワンルーム,23.94m2
ＪＲ京浜東北線 蒲田駅 5階建 築35年,東京都大田区西蒲田８, ＪＲ京浜東北線/蒲田駅 歩6分 東急池上線/蓮沼駅 歩6分 京急本線/京急蒲田駅 歩15分 , 築35年 5階建 ,             4階,6.5万円,-,-,-,ワンルーム,23.94m2
東急東横線 田園調布駅 3階建 築1年,東京都大田区田園調布５, 東急東横線/田園調布駅 歩19分 東急大井町線/九品仏駅 歩18分 東急大井町線/尾山台駅 歩18分 , 築1年 3階建 ,             1階,9.65万円,5500円,-,-,1K,26.51m2
東急東横線 田園調布駅 3階建 築1年,東京都大田区田園調布５, 東急東横線/田園調布駅 歩19分 東急大井町線/九品仏駅 歩18分 東急大井町線/尾山台駅 歩18分 , 築1年 3階建 ,             1階,9.75万円,5500円,-,-,1K,26.51m2
東急東横線 田園調布駅 3階建 築1年,東京都大田区田園調布５, 東急東横線/田園調布駅 歩19分 東急大井町線/九品仏駅 歩18分 東急大井町線/尾山台駅 歩18分 , 築1年 3階建 ,             1階,9.75万円,5500円,-,-,1K,26.51m2
東急東横線 田園調布駅 3階建 築1年,東京都大田区田園調布５, 東急東横線/田園調布駅 歩19分 東急大井町線/九品仏駅 歩18分 東急大井町線/尾山台駅 歩18分 , 築1年 3階建 ,             1階,9.95万円,5500円,-,-,1K,26.51m2
東急東横線 田園調布駅 3階建 築1年,東京都大田区田園調布５, 東急東横線/田園調布駅 歩19分 東急大井町線/九品仏駅 歩18分 東急大井町線/尾山台駅 歩18分 , 築1年 3階建 ,             1階,9.95万円,5500円,-,-,1K,26.08m2
東急東横線 田園調布駅 3階建 築1年,東京都大田区田園調布５, 東急東横線/田園調布駅 歩19分 東急大井町線/九品仏駅 歩18分 東急大井町線/尾山台駅 歩18分 , 築1年 3階建 ,             2階,10.15万円,5500円,-,-,1K,26.51m2
東急東横線 田園調布駅 3階建 築1年,東京都大田区田園調布５, 東急東横線/田園調布駅 歩19分 東急大井町線/九品仏駅 歩18分 東急大井町線/尾山台駅 歩18分 , 築1年 3階建 ,             2階,10.15万円,5500円,-,-,1K,26.51m2
東急東横線 田園調布駅 3階建 築1年,東京都大田区田園調布５, 東急東横線/田園調布駅 歩19分 東急大井町線/九品仏駅 歩18分 東急大井町線/尾山台駅 歩18分 , 築1年 3階建 ,             2階,10.15万円,5500円,-,-,1K,26.51m2
東急東横線 田園調布駅 3階建 築1年,東京都大田区田園調布５, 東急東横線/田園調布駅 歩19分 東急大井町線/九品仏駅 歩18分 東急大井町線/尾山台駅 歩18分 , 築1年 3階建 ,             2階,10.15万円,5500円,-,-,1K,26.51m2
東急東横線 田園調布駅 3階建 築1年,東京都大田区田園調布５, 東急東横線/田園調布駅 歩19分 東急大井町線/九品仏駅 歩18分 東急大井町線/尾山台駅 歩18分 , 築1年 3階建 ,             3階,10.25万円,5500円,-,-,1K,26.51m2
東急東横線 田園調布駅 3階建 築1年,東京都大田区田園調布５, 東急東横線/田園調布駅 歩19分 東急大井町線/九品仏駅 歩18分 東急大井町線/尾山台駅 歩18分 , 築1年 3階建 ,             3階,10.25万円,5500円,-,-,1K,26.51m2
東急東横線 田園調布駅 3階建 築1年,東京都大田区田園調布５, 東急東横線/田園調布駅 歩19分 東急大井町線/九品仏駅 歩18分 東急大井町線/尾山台駅 歩18分 , 築1年 3階建 ,             3階,10.25万円,5500円,-,-,1K,26.51m2
東急東横線 田園調布駅 3階建 築1年,東京都大田区田園調布５, 東急東横線/田園調布駅 歩19分 東急大井町線/九品仏駅 歩18分 東急大井町線/尾山台駅 歩18分 , 築1年 3階建 ,             2階,10.35万円,5500円,-,-,1K,26.51m2
東急東横線 田園調布駅 3階建 築1年,東京都大田区田園調布５, 東急東横線/田園調布駅 歩19分 東急大井町線/九品仏駅 歩18分 東急大井町線/尾山台駅 歩18分 , 築1年 3階建 ,             3階,10.35万円,5500円,-,-,1K,26.51m2
東急東横線 田園調布駅 3階建 築1年,東京都大田区田園調布５, 東急東横線/田園調布駅 歩19分 東急大井町線/九品仏駅 歩18分 東急大井町線/尾山台駅 歩18分 , 築1年 3階建 ,             2階,10.35万円,5500円,-,-,1K,26.51m2
東急東横線 田園調布駅 3階建 築1年,東京都大田区田園調布５, 東急東横線/田園調布駅 歩19分 東急大井町線/九品仏駅 歩18分 東急大井町線/尾山台駅 歩18分 , 築1年 3階建 ,             3階,10.45万円,5500円,-,-,1K,26.51m2
東急東横線 田園調布駅 3階建 築1年,東京都大田区田園調布５, 東急東横線/田園調布駅 歩19分 東急大井町線/九品仏駅 歩18分 東急大井町線/尾山台駅 歩18分 , 築1年 3階建 ,             2階,15.55万円,6500円,-,-,1LDK,40.97m2
